Time	Color	Edge	Label	
5	Blue	4;222	(4,222)
5	Blue	238;243	(238,243)
5	Blue	4;238	(4,238)
5	Blue	142;221	(142,221)
5	Blue	49;243	(49,243)
5	Blue	58;233	(58,233)
5	Blue	41;58	(41,58)
5	Blue	58;219	(58,219)
5	Blue	74;219	(74,219)
5	Blue	219;249	(219,249)
5	Blue	41;222	(41,222)
5	Blue	143;222	(143,222)
5	Blue	142;143	(142,143)
5	Blue	143;243	(143,243)
5	Blue	222;230	(222,230)
5	Blue	45;230	(45,230)
5	Blue	4;230	(4,230)
5	Blue	58;127	(58,127)
5	Blue	127;141	(127,141)
5	Blue	141;146	(141,146)
5	Blue	146;196	(146,196)
5	Blue	146;231	(146,231)
5	Blue	116;127	(116,127)
5	Blue	127;233	(127,233)
5	Blue	22;243	(22,243)
5	Blue	22;116	(22,116)
6	Blue	111;166	(111,166)
6	Blue	111;122	(111,122)
6	Blue	122;215	(122,215)
6	Blue	39;122	(39,122)
6	Blue	89;111	(89,111)
6	Blue	89;217	(89,217)
6	Blue	67;166	(67,166)
6	Blue	166;183	(166,183)
6	Blue	122;166	(122,166)
6	Blue	67;135	(67,135)
6	Blue	11;166	(11,166)
6	Blue	11;135	(11,135)
6	Blue	135;235	(135,235)
6	Blue	11;155	(11,155)
6	Blue	88;155	(88,155)
6	Blue	155;170	(155,170)
6	Blue	58;116	(58,116)
6	Blue	44;116	(44,116)
6	Blue	44;46	(44,46)
6	Blue	44;239	(44,239)
6	Blue	116;219	(116,219)
6	Blue	22;219	(22,219)
6	Blue	74;219	(74,219)
6	Blue	22;58	(22,58)
6	Blue	22;41	(22,41)
6	Blue	41;233	(41,233)
6	Blue	41;222	(41,222)
6	Blue	58;233	(58,233)
6	Blue	41;58	(41,58)
6	Blue	58;127	(58,127)
7	Blue	111;166	(111,166)
7	Blue	67;166	(67,166)
7	Blue	11;166	(11,166)
7	Blue	58;116	(58,116)
7	Blue	22;58	(22,58)
7	Blue	58;233	(58,233)
7	Blue	141;244	(141,244)
7	Blue	141;233	(141,233)
7	Blue	55;141	(55,141)
7	Blue	0;141	(0,141)
7	Blue	127;141	(127,141)
7	Blue	141;146	(141,146)
7	Blue	144;226	(144,226)
7	Blue	112;226	(112,226)
7	Blue	14;226	(14,226)
7	Blue	47;226	(47,226)
7	Blue	186;226	(186,226)
7	Blue	100;226	(100,226)
7	Blue	32;223	(32,223)
7	Blue	32;40	(32,40)
7	Blue	32;120	(32,120)
7	Blue	32;232	(32,232)
7	Blue	79;214	(79,214)
7	Blue	65;214	(65,214)
7	Blue	158;214	(158,214)
7	Blue	104;214	(104,214)
7	Blue	10;216	(10,216)
7	Blue	10;109	(10,109)
7	Blue	10;175	(10,175)
7	Blue	10;123	(10,123)
7	Blue	10;99	(10,99)
7	Blue	10;151	(10,151)
7	Blue	132;224	(132,224)
7	Blue	56;132	(56,132)
7	Blue	66;132	(66,132)
7	Blue	132;137	(132,137)
7	Blue	113;132	(113,132)
7	Blue	121;211	(121,211)
7	Blue	121;156	(121,156)
7	Blue	121;197	(121,197)
7	Blue	26;121	(26,121)
7	Blue	157;165	(157,165)
7	Blue	165;168	(165,168)
7	Blue	72;165	(72,165)
7	Blue	150;165	(150,165)
7	Blue	165;213	(165,213)
7	Blue	63;185	(63,185)
7	Blue	63;241	(63,241)
7	Blue	19;63	(19,63)
7	Blue	63;182	(63,182)
7	Blue	25;220	(25,220)
7	Blue	43;220	(43,220)
7	Blue	84;220	(84,220)
7	Blue	71;220	(71,220)
7	Blue	198;228	(198,228)
7	Blue	198;237	(198,237)
7	Blue	117;198	(117,198)
7	Blue	30;198	(30,198)
7	Blue	133;198	(133,198)
7	Blue	33;198	(33,198)
7	Blue	88;135	(88,135)
7	Blue	135;155	(135,155)
7	Blue	67;135	(67,135)
7	Blue	11;135	(11,135)
7	Blue	135;235	(135,235)
7	Blue	135;166	(135,166)
7	Blue	86;231	(86,231)
7	Blue	86;149	(86,149)
7	Blue	86;146	(86,146)
7	Blue	52;86	(52,86)
7	Blue	86;196	(86,196)
7	Blue	75;86	(75,86)
7	Blue	34;200	(34,200)
7	Blue	7;34	(7,34)
7	Blue	34;180	(34,180)
7	Blue	34;37	(34,37)
7	Blue	91;189	(91,189)
7	Blue	184;189	(184,189)
7	Blue	189;240	(189,240)
7	Blue	90;189	(90,189)
7	Blue	59;74	(59,74)
7	Blue	59;225	(59,225)
7	Blue	59;152	(59,152)
7	Blue	59;130	(59,130)
7	Blue	5;21	(5,21)
7	Blue	21;92	(21,92)
7	Blue	13;21	(13,21)
7	Blue	21;145	(21,145)
7	Blue	21;68	(21,68)
7	Blue	35;136	(35,136)
7	Blue	8;136	(8,136)
7	Blue	98;136	(98,136)
7	Blue	2;136	(2,136)
7	Blue	42;124	(42,124)
7	Blue	42;62	(42,62)
7	Blue	42;203	(42,203)
7	Blue	42;48	(42,48)
7	Blue	42;97	(42,97)
7	Blue	42;102	(42,102)
7	Blue	77;206	(77,206)
7	Blue	204;206	(204,206)
7	Blue	201;206	(201,206)
7	Blue	114;206	(114,206)
7	Blue	6;247	(6,247)
7	Blue	6;28	(6,28)
7	Blue	6;54	(6,54)
7	Blue	6;61	(6,61)
7	Blue	6;53	(6,53)
7	Blue	24;191	(24,191)
7	Blue	24;154	(24,154)
7	Blue	24;96	(24,96)
7	Blue	24;51	(24,51)
7	Blue	24;182	(24,182)
7	Blue	24;217	(24,217)
7	Blue	89;162	(89,162)
7	Blue	162;183	(162,183)
7	Blue	162;174	(162,174)
7	Blue	162;217	(162,217)
7	Blue	107;193	(107,193)
7	Blue	107;212	(107,212)
7	Blue	107;164	(107,164)
7	Blue	107;181	(107,181)
7	Blue	122;160	(122,160)
7	Blue	160;170	(160,170)
7	Blue	3;160	(3,160)
7	Blue	108;160	(108,160)
7	Blue	172;195	(172,195)
7	Blue	129;195	(129,195)
7	Blue	169;195	(169,195)
7	Blue	31;195	(31,195)
8	Blue	141;244	(141,244)
8	Blue	141;233	(141,233)
8	Blue	55;141	(55,141)
8	Blue	0;141	(0,141)
8	Blue	127;141	(127,141)
8	Blue	144;226	(144,226)
8	Blue	112;226	(112,226)
8	Blue	14;226	(14,226)
8	Blue	47;226	(47,226)
8	Blue	186;226	(186,226)
8	Blue	32;223	(32,223)
8	Blue	32;40	(32,40)
8	Blue	32;120	(32,120)
8	Blue	32;232	(32,232)
8	Blue	32;159	(32,159)
8	Blue	79;214	(79,214)
8	Blue	65;214	(65,214)
8	Blue	158;214	(158,214)
8	Blue	104;214	(104,214)
8	Blue	10;216	(10,216)
8	Blue	10;109	(10,109)
8	Blue	10;175	(10,175)
8	Blue	10;123	(10,123)
8	Blue	10;99	(10,99)
8	Blue	10;151	(10,151)
8	Blue	132;224	(132,224)
8	Blue	56;132	(56,132)
8	Blue	66;132	(66,132)
8	Blue	132;137	(132,137)
8	Blue	121;211	(121,211)
8	Blue	121;156	(121,156)
8	Blue	121;197	(121,197)
8	Blue	26;121	(26,121)
8	Blue	121;131	(121,131)
8	Blue	157;165	(157,165)
8	Blue	165;168	(165,168)
8	Blue	72;165	(72,165)
8	Blue	150;165	(150,165)
8	Blue	165;213	(165,213)
8	Blue	112;165	(112,165)
8	Blue	63;185	(63,185)
8	Blue	63;241	(63,241)
8	Blue	19;63	(19,63)
8	Blue	63;182	(63,182)
8	Blue	63;163	(63,163)
8	Blue	25;220	(25,220)
8	Blue	43;220	(43,220)
8	Blue	84;220	(84,220)
8	Blue	71;220	(71,220)
8	Blue	198;228	(198,228)
8	Blue	198;237	(198,237)
8	Blue	117;198	(117,198)
8	Blue	30;198	(30,198)
8	Blue	133;198	(133,198)
8	Blue	88;135	(88,135)
8	Blue	135;155	(135,155)
8	Blue	67;135	(67,135)
8	Blue	11;135	(11,135)
8	Blue	135;235	(135,235)
8	Blue	135;166	(135,166)
8	Blue	86;231	(86,231)
8	Blue	86;149	(86,149)
8	Blue	86;146	(86,146)
8	Blue	52;86	(52,86)
8	Blue	86;196	(86,196)
8	Blue	75;86	(75,86)
8	Blue	34;200	(34,200)
8	Blue	7;34	(7,34)
8	Blue	34;180	(34,180)
8	Blue	34;37	(34,37)
8	Blue	34;179	(34,179)
8	Blue	27;34	(27,34)
8	Blue	91;189	(91,189)
8	Blue	184;189	(184,189)
8	Blue	189;240	(189,240)
8	Blue	90;189	(90,189)
8	Blue	118;189	(118,189)
8	Blue	59;74	(59,74)
8	Blue	59;225	(59,225)
8	Blue	59;152	(59,152)
8	Blue	59;130	(59,130)
8	Blue	59;239	(59,239)
8	Blue	5;21	(5,21)
8	Blue	21;92	(21,92)
8	Blue	13;21	(13,21)
8	Blue	21;145	(21,145)
8	Blue	21;68	(21,68)
8	Blue	21;194	(21,194)
8	Blue	35;136	(35,136)
8	Blue	8;136	(8,136)
8	Blue	98;136	(98,136)
8	Blue	2;136	(2,136)
8	Blue	136;176	(136,176)
8	Blue	136;236	(136,236)
8	Blue	42;124	(42,124)
8	Blue	42;62	(42,62)
8	Blue	42;203	(42,203)
8	Blue	42;48	(42,48)
8	Blue	77;206	(77,206)
8	Blue	204;206	(204,206)
8	Blue	201;206	(201,206)
8	Blue	114;206	(114,206)
8	Blue	38;206	(38,206)
8	Blue	6;247	(6,247)
8	Blue	6;28	(6,28)
8	Blue	6;54	(6,54)
8	Blue	6;61	(6,61)
8	Blue	6;53	(6,53)
8	Blue	24;191	(24,191)
8	Blue	24;154	(24,154)
8	Blue	24;96	(24,96)
8	Blue	24;51	(24,51)
8	Blue	24;182	(24,182)
9	Blue	141;244	(141,244)
9	Blue	141;233	(141,233)
9	Blue	55;141	(55,141)
9	Blue	0;141	(0,141)
9	Blue	127;141	(127,141)
9	Blue	144;226	(144,226)
9	Blue	112;226	(112,226)
9	Blue	14;226	(14,226)
9	Blue	47;226	(47,226)
9	Blue	32;223	(32,223)
9	Blue	32;40	(32,40)
9	Blue	32;120	(32,120)
9	Blue	32;232	(32,232)
9	Blue	32;159	(32,159)
9	Blue	79;214	(79,214)
9	Blue	65;214	(65,214)
9	Blue	158;214	(158,214)
9	Blue	104;214	(104,214)
9	Blue	10;216	(10,216)
9	Blue	10;109	(10,109)
9	Blue	10;175	(10,175)
9	Blue	10;123	(10,123)
9	Blue	10;99	(10,99)
9	Blue	10;151	(10,151)
9	Blue	132;224	(132,224)
9	Blue	56;132	(56,132)
9	Blue	66;132	(66,132)
9	Blue	132;137	(132,137)
9	Blue	113;132	(113,132)
9	Blue	95;132	(95,132)
9	Blue	121;211	(121,211)
9	Blue	121;156	(121,156)
9	Blue	121;197	(121,197)
9	Blue	26;121	(26,121)
9	Blue	157;165	(157,165)
9	Blue	165;168	(165,168)
9	Blue	72;165	(72,165)
9	Blue	150;165	(150,165)
9	Blue	165;213	(165,213)
9	Blue	112;165	(112,165)
9	Blue	63;185	(63,185)
9	Blue	63;241	(63,241)
9	Blue	19;63	(19,63)
9	Blue	63;182	(63,182)
9	Blue	63;163	(63,163)
9	Blue	25;220	(25,220)
9	Blue	43;220	(43,220)
9	Blue	84;220	(84,220)
9	Blue	71;220	(71,220)
9	Blue	9;220	(9,220)
9	Blue	20;220	(20,220)
9	Blue	198;228	(198,228)
9	Blue	198;237	(198,237)
9	Blue	117;198	(117,198)
9	Blue	30;198	(30,198)
9	Blue	133;198	(133,198)
9	Blue	88;135	(88,135)
9	Blue	135;155	(135,155)
9	Blue	67;135	(67,135)
9	Blue	11;135	(11,135)
9	Blue	135;235	(135,235)
9	Blue	86;231	(86,231)
9	Blue	86;149	(86,149)
9	Blue	86;146	(86,146)
9	Blue	52;86	(52,86)
9	Blue	34;200	(34,200)
9	Blue	7;34	(7,34)
9	Blue	34;180	(34,180)
9	Blue	34;37	(34,37)
9	Blue	34;179	(34,179)
9	Blue	27;34	(27,34)
9	Blue	91;189	(91,189)
9	Blue	184;189	(184,189)
9	Blue	189;240	(189,240)
9	Blue	90;189	(90,189)
9	Blue	59;74	(59,74)
9	Blue	59;225	(59,225)
9	Blue	59;152	(59,152)
9	Blue	59;130	(59,130)
9	Blue	59;239	(59,239)
9	Blue	59;242	(59,242)
9	Blue	5;21	(5,21)
9	Blue	21;92	(21,92)
9	Blue	13;21	(13,21)
9	Blue	21;145	(21,145)
9	Blue	21;68	(21,68)
9	Blue	35;136	(35,136)
9	Blue	8;136	(8,136)
9	Blue	98;136	(98,136)
9	Blue	2;136	(2,136)
10	Blue	32;223	(32,223)
10	Blue	204;223	(204,223)
10	Blue	204;206	(204,206)
10	Blue	16;50	(16,50)
10	Blue	148;171	(148,171)
10	Blue	114;206	(114,206)
10	Blue	38;148	(38,148)
10	Blue	38;206	(38,206)
10	Blue	114;218	(114,218)
10	Blue	16;114	(16,114)
10	Blue	78;94	(78,94)
10	Blue	94;218	(94,218)
10	Blue	181;223	(181,223)
10	Blue	107;181	(107,181)
10	Blue	50;107	(50,107)
10	Blue	164;181	(164,181)
10	Blue	50;164	(50,164)
10	Blue	50;212	(50,212)
10	Blue	66;212	(66,212)
10	Blue	193;212	(193,212)
10	Blue	34;180	(34,180)
10	Blue	29;179	(29,179)
10	Blue	179;180	(179,180)
10	Blue	27;29	(27,29)
10	Blue	37;180	(37,180)
10	Blue	180;181	(180,181)
10	Blue	34;37	(34,37)
10	Blue	34;179	(34,179)
10	Blue	27;34	(27,34)
10	Blue	32;40	(32,40)
10	Blue	40;199	(40,199)
10	Blue	115;201	(115,201)
10	Blue	104;201	(104,201)
10	Blue	65;104	(65,104)
10	Blue	114;204	(114,204)
10	Blue	201;204	(201,204)
10	Blue	40;242	(40,242)
10	Blue	199;242	(199,242)
10	Blue	118;242	(118,242)
10	Blue	118;184	(118,184)
10	Blue	118;225	(118,225)
10	Blue	115;199	(115,199)
10	Blue	32;199	(32,199)
10	Blue	64;115	(64,115)
10	Blue	64;206	(64,206)
10	Blue	32;120	(32,120)
10	Blue	120;232	(120,232)
10	Blue	17;29	(17,29)
10	Blue	17;232	(17,232)
10	Blue	29;232	(29,232)
10	Blue	40;177	(40,177)
10	Blue	177;189	(177,189)
10	Blue	118;189	(118,189)
10	Blue	17;189	(17,189)
10	Blue	120;159	(120,159)
10	Blue	27;159	(27,159)
10	Blue	27;93	(27,93)
10	Blue	93;200	(93,200)
10	Blue	159;200	(159,200)
10	Blue	7;200	(7,200)
10	Blue	29;120	(29,120)
10	Blue	93;120	(93,120)
10	Blue	40;232	(40,232)
10	Blue	40;64	(40,64)
10	Blue	32;232	(32,232)
10	Blue	32;159	(32,159)
10	Blue	32;181	(32,181)
10	Blue	159;223	(159,223)
10	Blue	64;223	(64,223)
10	Blue	172;195	(172,195)
10	Blue	129;195	(129,195)
10	Blue	35;129	(35,129)
10	Blue	20;220	(20,220)
10	Blue	35;43	(35,43)
10	Blue	98;208	(98,208)
10	Blue	35;98	(35,98)
10	Blue	20;43	(20,43)
10	Blue	31;195	(31,195)
10	Blue	43;129	(43,129)
10	Blue	31;129	(31,129)
